Date,combined_nav
2024-04-22,138470259.7224911
2024-04-23,140652929.6105231
2024-04-24,141903703.62546453
2024-04-25,140711453.5520469
2024-04-26,143528273.50855228
2024-04-29,145132281.04090774
2024-04-30,142003277.03009698
2024-05-01,142620439.2524076
2024-05-02,144178610.24465138
2024-05-03,146361614.8315505
2024-05-06,148309418.69266182
2024-05-07,147966361.93548176
2024-05-08,148036000.12559143
2024-05-09,148301342.56581625
2024-05-10,148143931.14269647
2024-05-13,148528141.92435607
2024-05-14,149772996.47226295
2024-05-15,151242731.83769113
2024-05-16,151026168.7311632
2024-05-17,151357354.04068443
2024-05-20,150702626.27122867
2024-05-21,152110547.77433926
2024-05-22,151539383.2201855
2024-05-23,150936977.86880133
2024-05-24,152700746.40053025
2024-05-28,153301646.33388436
2024-05-29,152907147.10280627
2024-05-30,151648606.35362118
2024-05-31,151806528.90422896
2024-06-03,152983059.4379477
2024-06-04,153206706.70472708
2024-06-05,155101279.5325305
2024-06-06,155646387.02368966
2024-06-07,155878598.14035493
2024-06-10,155902009.930076
2024-06-11,156657543.6581376
2024-06-12,158072398.70193398
2024-06-13,158787789.94406676
2024-06-14,158722604.95018968
2024-06-17,160302295.6433946
2024-06-18,160145003.39366403
2024-06-20,159952589.38959163
2024-06-21,159702751.35014388
2024-06-24,158684170.82404348
2024-06-25,160795741.454295
2024-06-26,162581184.22702315
2024-06-27,162756987.9059883
2024-06-28,161153491.1449934
2024-07-01,163804529.00450563
2024-07-02,166745130.20955643
2024-07-03,168614915.66790348
2024-07-05,170843272.55471984
2024-07-08,170453293.89329508
2024-07-09,171678584.5434489
2024-07-10,173301118.38153905
2024-07-11,168375421.63068715
2024-07-12,168771573.8715193
2024-07-15,169673882.07599318
2024-07-16,169638208.56075722
2024-07-17,166745863.86896753
2024-07-18,165722485.72345075
2024-07-19,164161155.13279307
2024-07-22,166797508.06112307
2024-07-23,166503592.4469355
2024-07-24,159585393.36038768
2024-07-25,158625083.14629176
2024-07-26,160365806.05757514
2024-07-29,161255340.6231341
2024-07-30,159916875.84936833
2024-07-31,163332168.81123537
2024-08-01,161252039.62395647
2024-08-02,157635513.93637985
2024-08-05,151724573.93946242
2024-08-06,153354724.61783284
2024-08-07,151911310.20642522
2024-08-08,155644121.7588909
2024-08-09,156758407.22946694
2024-08-12,157108424.47758865
2024-08-13,160397743.63341504
2024-08-14,160123121.4918019
2024-08-15,163824982.3670476
2024-08-16,164274410.8187333
2024-08-19,166223432.58693528
2024-08-20,166038702.57676378
2024-08-21,166726930.8054316
2024-08-22,164251404.42158702
2024-08-23,166395850.7352445
2024-08-26,165231345.73860517
2024-08-27,164989815.9738268
2024-08-28,163739329.06690493
2024-08-29,163550798.838478
2024-08-30,165866235.1340541
2024-09-03,162056675.7000789
2024-09-04,162035582.33223793
2024-09-05,163252349.1997297
2024-09-06,158638089.38182133
2024-09-09,160982539.58109704
2024-09-10,161844866.1678559
2024-09-11,164591526.64940107
2024-09-12,166254273.15329352
