Date,nav
2023-07-11,116500520.90291414
2023-07-12,117894718.7824521
2023-07-13,119854921.71570806
2023-07-14,120117929.31215245
2023-07-17,121022651.87882447
2023-07-18,121374115.89171563
2023-07-19,121314129.35206974
2023-07-20,119073509.83141708
2023-07-21,118224499.0413924
2023-07-24,118968536.65583661
2023-07-25,119359482.32109152
2023-07-26,119652225.29245406
2023-07-27,119647718.34572415
2023-07-28,121868233.93103272
2023-07-31,121379124.88838433
2023-08-01,121110855.75851719
2023-08-02,119088374.04949196
2023-08-03,119621722.80005586
2023-08-04,119809852.74809526
2023-08-07,120697322.87823553
2023-08-08,119951284.49899152
2023-08-09,118264816.15452337
2023-08-10,118430677.68957287
2023-08-11,117839886.43087529
2023-08-14,119214980.13583207
2023-08-15,118088526.55699362
2023-08-16,117045682.78603846
2023-08-17,116211737.09910093
2023-08-18,115640918.43309921
2023-08-21,117740194.9346137
2023-08-22,117385950.80320615
2023-08-23,118712982.27329907
2023-08-24,117344477.39290896
2023-08-25,117912629.27560286
2023-08-28,118287230.85101764
2023-08-29,120559441.48977098
2023-08-30,120737436.98090263
2023-08-31,120852541.54378155
2023-09-01,120177356.90635666
2023-09-05,120936525.5958973
2023-09-06,119635624.0784864
2023-09-07,119442654.50688052
2023-09-08,119440047.32678558
2023-09-11,121582656.06439137
2023-09-12,120732040.90721887
2023-09-13,121678075.08994445
2023-09-14,122060935.57657212
2023-09-15,120594980.49089164
2023-09-18,120748398.50676253
2023-09-19,120640293.78772205
2023-09-20,119097999.33505909
2023-09-21,117569777.17460644
2023-09-22,117138072.0482097
2023-09-25,117642032.03542513
2023-09-26,116374349.64771025
2023-09-27,116341132.2912996
2023-09-28,117244472.42560402
2023-09-29,117226135.92182018
2023-10-02,118712646.30345038
2023-10-03,117295174.6120973
2023-10-04,118920369.81960449
2023-10-05,119350598.47218733
2023-10-06,120762339.18861996
2023-10-09,120761610.98722456
2023-10-10,121163373.11861007
2023-10-11,121960061.89882712
2023-10-12,121905126.97198665
2023-10-13,120668778.67000167
2023-10-16,121545942.71324354
2023-10-17,120874995.60023342
2023-10-18,118923895.9931131
2023-10-19,117774502.41651519
2023-10-20,116535256.33858758
2023-10-23,117174550.59363733
2023-10-24,117877796.72874007
2023-10-25,115766362.71578997
2023-10-26,113486375.25545181
2023-10-27,114260082.95889516
2023-10-30,115152074.42970979
2023-10-31,115338659.95289251
2023-11-01,117235364.91307296
2023-11-02,118552512.53971186
2023-11-03,119320037.17230085
2023-11-06,120059052.48129475
2023-11-07,120892857.62881166
2023-11-08,121239405.98655432
2023-11-09,120282761.51736489
2023-11-10,121954214.77585082
2023-11-13,122220508.50758687
2023-11-14,123742471.67994973
2023-11-15,123802930.95020999
2023-11-16,124282762.54664454
2023-11-17,124251259.51142457
2023-11-20,125171543.08986418
2023-11-21,125209583.12216821
2023-11-22,125226119.38714944
2023-11-24,124843546.41051067
2023-11-27,124884946.99804749
2023-11-28,125669956.0321684
2023-11-29,125112786.41265626
2023-11-30,124461482.6237996
2023-12-01,124392748.67462687
2023-12-04,123226623.41613664
2023-12-05,124321243.9192273
2023-12-06,123423873.65165234
2023-12-07,125012782.23199672
2023-12-08,125521698.02175567
2023-12-11,124225369.20812485
2023-12-12,125076951.82182327
2023-12-13,125376406.00688118
2023-12-14,125584294.86833456
2023-12-15,126306662.02725038
2023-12-18,127444193.09585765
2023-12-19,128062137.22407332
2023-12-20,126934814.08772331
2023-12-21,128096851.42329323
2023-12-22,127874198.9531247
2023-12-26,128230303.68570547
2023-12-27,128510810.14081693
2023-12-28,128378581.29490846
2023-12-29,127856793.54826938
2024-01-02,126875828.50639804
2024-01-03,126287483.09118858
2024-01-04,125929670.20152946
2024-01-05,126379090.35157397
2024-01-08,128390400.27076319
2024-01-09,128689087.3354518
2024-01-10,129929754.44470146
2024-01-11,129662591.48208772
2024-01-12,129488214.94052906
2024-01-16,129433323.60977036
2024-01-17,129032145.20972836
2024-01-18,130076886.69665572
2024-01-19,131618085.99927393
2024-01-22,131357693.83701573
2024-01-23,131501741.14517099
2024-01-24,132288142.4655164
2024-01-25,131292458.60490233
2024-01-26,131007901.6780375
2024-01-29,132550802.4496901
2024-01-30,132392324.40925246
2024-01-31,129852204.42039448
2024-02-01,130885598.75371628
2024-02-02,135057493.94809136
2024-02-05,134697383.37753668
2024-02-06,134905132.51814362
2024-02-07,136289559.88922155
2024-02-08,135891974.9405067
2024-02-09,137444722.55507192
2024-02-12,136591671.89159912
2024-02-13,135378902.50994295
2024-02-14,136583792.91151357
2024-02-15,137455495.9452907
2024-02-16,136662446.7487126
2024-02-20,135560311.5197617
2024-02-21,135650378.98624367
2024-02-22,139626326.86166415
2024-02-23,139207568.03489006
2024-02-26,138942411.1210226
2024-02-27,139099474.80777332
2024-02-28,138932930.37698245
2024-02-29,139817623.1019569
2024-03-01,140450590.66939467
2024-03-04,138805571.26454088
2024-03-05,137478805.8732496
2024-03-06,137307566.4535079
