Date,0
2024-03-26,ESM4
2024-03-27,ESM4
2024-03-28,ESM4
2024-04-01,ESM4
2024-04-02,ESM4
2024-04-03,ESM4
2024-04-04,ESM4
2024-04-05,ESM4
2024-04-08,ESM4
2024-04-09,ESM4
2024-04-10,ESM4
2024-04-11,ESM4
2024-04-12,ESM4
2024-04-15,ESM4
2024-04-16,ESM4
2024-04-17,ESM4
2024-04-18,ESM4
2024-04-19,ESM4
2024-04-22,ESM4
2024-04-23,ESM4
2024-04-24,ESM4
2024-04-25,ESM4
2024-04-26,ESM4
2024-04-29,ESM4
2024-04-30,ESM4
2024-05-01,ESM4
2024-05-02,ESM4
2024-05-03,ESM4
2024-05-06,ESM4
2024-05-07,ESM4
2024-05-08,ESM4
2024-05-09,ESM4
2024-05-10,ESM4
2024-05-13,ESM4
2024-05-14,ESM4
2024-05-15,ESM4
2024-05-16,ESM4
2024-05-17,ESM4
2024-05-20,ESM4
2024-05-21,ESM4
2024-05-22,ESM4
2024-05-23,ESM4
2024-05-24,ESM4
2024-05-28,ESM4
2024-05-29,ESM4
2024-05-30,ESM4
2024-05-31,ESM4
2024-06-03,ESM4
2024-06-04,ESM4
2024-06-05,ESM4
2024-06-06,ESM4
2024-06-07,ESM4
2024-06-10,ESM4
2024-06-11,ESM4
2024-06-12,ESM4
2024-06-13,ESM4
2024-06-14,ESM4
2024-06-17,ESM4
2024-06-18,ESU4
2024-06-20,ESU4
2024-06-21,ESU4
2024-06-24,ESU4
2024-06-25,ESU4
2024-06-26,ESU4
2024-06-27,ESU4
2024-06-28,ESU4
2024-07-01,ESU4
2024-07-02,ESU4
2024-07-03,ESU4
2024-07-05,ESU4
2024-07-08,ESU4
2024-07-09,ESU4
2024-07-10,ESU4
2024-07-11,ESU4
2024-07-12,ESU4
2024-07-15,ESU4
2024-07-16,ESU4
2024-07-17,ESU4
2024-07-18,ESU4
2024-07-19,ESU4
2024-07-22,ESU4
2024-07-23,ESU4
2024-07-24,ESU4
2024-07-25,ESU4
2024-07-26,ESU4
2024-07-29,ESU4
2024-07-30,ESU4
2024-07-31,ESU4
2024-08-01,ESU4
2024-08-02,ESU4
2024-08-05,ESU4
2024-08-06,ESU4
2024-08-07,ESU4
2024-08-08,ESU4
2024-08-09,ESU4
2024-08-12,ESU4
2024-08-13,ESU4
2024-08-14,ESU4
2024-08-15,ESU4
2024-08-16,ESU4
2024-08-19,ESU4
2024-08-20,ESU4
2024-08-21,ESU4
2024-08-22,ESU4
2024-08-23,ESU4
2024-08-26,ESU4
2024-08-27,ESU4
2024-08-28,ESU4
2024-08-29,ESU4
2024-08-30,ESU4
2024-09-03,ESU4
2024-09-04,ESU4
2024-09-05,ESU4
2024-09-06,ESU4
2024-09-09,ESU4
