Date,combined_nav
2024-01-09,123591380.45988083
2024-01-10,124148362.64664668
2024-01-11,123999290.71609832
2024-01-12,123800052.90463117
2024-01-16,124192664.43222551
2024-01-17,124468955.6371902
2024-01-18,124519246.32777746
2024-01-19,124612276.6582254
2024-01-22,124065979.89201942
2024-01-23,123861969.42145565
2024-01-24,124573786.93207556
2024-01-25,122950356.0062718
2024-01-26,122839827.96876647
2024-01-29,123431785.16641887
2024-01-30,123360321.570661
2024-01-31,122821533.80943744
2024-02-01,122412974.48806609
2024-02-02,125298298.96467617
2024-02-05,125391906.56995167
2024-02-06,125282674.51922521
2024-02-07,125660220.45900877
2024-02-08,125200482.33552267
2024-02-09,126100621.6149897
2024-02-12,125315939.44376528
2024-02-13,125843458.9557043
2024-02-14,125886084.98905241
2024-02-15,126049241.83043724
2024-02-16,125921231.6039116
2024-02-20,125521427.2498759
2024-02-21,125493403.68429244
2024-02-22,126945932.66399992
2024-02-23,126433944.07506895
2024-02-26,126697089.14675719
2024-02-27,126611755.45189999
2024-02-28,126668962.45028566
2024-02-29,126988061.28484166
2024-03-01,126570640.1986452
2024-03-04,125118295.63558231
2024-03-05,125094116.98073798
2024-03-06,124187836.32638487
2024-03-07,124122878.90440905
2024-03-08,124289079.07173318
2024-03-11,124076231.13729721
2024-03-12,124707057.73360416
2024-03-13,124172479.45185426
2024-03-14,124207250.95715432
2024-03-15,124409470.93303698
2024-03-18,125528839.98931411
2024-03-19,125000908.9792644
2024-03-20,125081422.31506775
2024-03-21,124187254.05891275
2024-03-22,124714201.40900862
2024-03-25,124781263.63910642
2024-03-26,124998515.1591047
2024-03-27,124014727.06067547
2024-03-28,123399409.50570738
2024-04-01,124336633.15801917
2024-04-02,124611796.33334908
2024-04-03,124507816.67376088
2024-04-04,125725571.41650161
2024-04-05,125169373.16465038
2024-04-08,125642923.73943582
2024-04-09,125631360.5037776
2024-04-10,126788722.10223857
2024-04-11,127673111.5367219
2024-04-12,127924496.30250861
2024-04-15,127471505.31765233
2024-04-16,126962444.43290415
2024-04-17,127001301.3810074
2024-04-18,126983628.16722523
2024-04-19,126004464.6940852
2024-04-22,125579749.40807255
2024-04-23,125580410.09650335
2024-04-24,126794200.90467188
2024-04-25,126535776.80227001
2024-04-26,127531173.82520999
2024-04-29,128561941.65258546
2024-04-30,128391594.18360685
2024-05-01,129766912.14476196
2024-05-02,129660838.83222516
2024-05-03,129504655.59073825
2024-05-06,129538578.5013519
2024-05-07,128927393.49506828
2024-05-08,129034014.89195086
2024-05-09,128328548.15438701
2024-05-10,127903008.4821637
2024-05-13,128314956.66890298
2024-05-14,128672214.25426021
2024-05-15,127793515.98960912
2024-05-16,128048488.7694357
2024-05-17,128120791.63154662
