Date,nav
2022-12-28,80257061.48939957
2022-12-29,81615511.62424144
2022-12-30,81788927.36624521
2023-01-03,81247212.8719084
2023-01-04,81590125.69781138
2023-01-05,80932181.21660896
2023-01-06,81655421.6488921
2023-01-09,82549288.09647423
2023-01-10,82974723.98689562
2023-01-11,83862309.78779924
2023-01-12,84260107.30979389
2023-01-13,84777025.99311018
2023-01-17,85447858.14331794
2023-01-18,85048709.79380666
2023-01-19,85047091.9539827
2023-01-20,86470402.65326138
2023-01-23,87869723.58237234
2023-01-24,87798599.6898873
2023-01-25,87682381.22451994
2023-01-26,89338011.60109322
2023-01-27,91422802.43705386
2023-01-30,89545435.91657087
2023-01-31,90232204.72056545
2023-02-01,91584553.85911249
2023-02-02,95473926.53352983
2023-02-03,94827506.14492197
2023-02-06,94798694.15731332
2023-02-07,96128110.25528769
2023-02-08,95333994.2094417
2023-02-09,94855196.72925773
2023-02-10,93585362.94716594
2023-02-13,94201272.63390774
2023-02-14,95419462.61306612
2023-02-15,95553247.01144665
2023-02-16,94148167.75886303
2023-02-17,94072058.5440008
2023-02-21,92951250.79483818
2023-02-22,93162284.85306317
2023-02-23,94419268.44820134
2023-02-24,93677490.13431045
2023-02-27,94329179.81506707
2023-02-28,94505598.86473107
2023-03-01,93789753.69951183
2023-03-02,93514767.81510185
2023-03-03,95082823.70891193
2023-03-06,95136570.6847882
2023-03-07,94658294.42828529
2023-03-08,94658290.34601735
2023-03-09,93810551.33279744
2023-03-10,94025351.52993754
2023-03-13,94646242.13987887
2023-03-14,96374840.72872339
2023-03-15,96951189.33310588
2023-03-16,98314654.71124658
2023-03-17,98143734.94777465
2023-03-20,97871783.1515179
2023-03-21,99219126.32174025
2023-03-22,98990367.90042654
2023-03-23,99910040.63604861
2023-03-24,99387867.39434971
2023-03-27,98947785.51568617
2023-03-28,98370130.77018338
2023-03-29,99032809.95753758
2023-03-30,99262560.14570996
2023-03-31,100267348.52616733
2023-04-03,99814377.49004114
2023-04-04,100056295.53739081
2023-04-05,99527419.08121571
2023-04-06,100147495.19263494
2023-04-10,99797017.52158453
2023-04-11,99262929.53131132
2023-04-12,98665003.55713336
2023-04-13,99943207.42426135
2023-04-14,100954808.3541503
2023-04-17,100729690.36564606
2023-04-18,100456933.46694873
2023-04-19,100546203.24145687
2023-04-20,99651773.44501753
2023-04-21,99806847.04098159
2023-04-24,99472212.44098088
2023-04-25,98818096.20097369
2023-04-26,99539691.28198662
2023-04-27,101648074.27908774
2023-04-28,101634849.38245432
2023-05-01,101863090.04083134
2023-05-02,101755726.88031283
2023-05-03,101544267.65339895
2023-05-04,101564968.18806808
2023-05-05,102609757.283765
2023-05-08,103026080.56721042
2023-05-09,102781743.21787767
2023-05-10,103518718.18076073
2023-05-11,104350661.90146737
2023-05-12,103715326.18693353
2023-05-15,103914854.88067843
2023-05-16,104784032.85176352
2023-05-17,105751253.63282892
2023-05-18,106750427.80824852
2023-05-19,106688986.52105406
2023-05-22,107155414.63690208
2023-05-23,106517256.58466528
2023-05-24,106706994.68772987
2023-05-25,109344252.70703182
2023-05-26,110759970.12082028
2023-05-30,111516096.10009634
2023-05-31,111147247.00218524
2023-06-01,112571018.63681005
2023-06-02,112717605.99486643
2023-06-05,112958259.83494417
2023-06-06,113064888.72462822
2023-06-07,111497526.47102733
2023-06-08,112447718.44488129
2023-06-09,112924827.10145415
2023-06-12,113906911.59555306
2023-06-13,114374579.39289925
2023-06-14,115018101.39436024
2023-06-15,115496221.50942755
2023-06-16,115603250.38020286
2023-06-20,116622590.39940651
2023-06-21,115545846.12599096
2023-06-22,116759339.22610074
2023-06-23,116565423.31403857
2023-06-26,114203151.56897624
2023-06-27,115105000.39946716
2023-06-28,115363941.63033293
2023-06-29,115481396.06372996
2023-06-30,116610980.496174
2023-07-03,117137742.38547428
2023-07-05,117790624.340863
2023-07-06,117545195.85789202
2023-07-07,117381433.12664318
2023-07-10,116386931.5959787
2023-07-11,116591706.16882612
2023-07-12,117711422.33493656
2023-07-13,119380997.57162218
2023-07-14,119698497.86117351
2023-07-17,120465979.57113177
2023-07-18,120542961.87059538
2023-07-19,120408300.15891406
2023-07-20,118421979.87276044
2023-07-21,117579023.82641432
2023-07-24,118171692.8488948
2023-07-25,118461726.11950724
2023-07-26,118760523.83454832
2023-07-27,119006279.62653176
2023-07-28,120885711.31794876
2023-07-31,120332018.34272918
2023-08-01,120170716.35118307
2023-08-02,118664906.10272732
2023-08-03,119323386.22264789
2023-08-04,119703249.720508
2023-08-07,120269818.43568519
2023-08-08,119679185.1441906
2023-08-09,118257107.27368574
2023-08-10,118422968.80873525
2023-08-11,117872542.50789465
2023-08-14,119043793.17567362
2023-08-15,118337135.15854788
2023-08-16,117568773.10102026
2023-08-17,117021418.61486736
2023-08-18,116464727.6841156
2023-08-21,118323832.68638098
2023-08-22,118076555.69329445
2023-08-23,119018101.81585312
2023-08-24,118142049.42131831
2023-08-25,118482139.2921202
2023-08-28,118630697.10353583
2023-08-29,120382199.78593399
2023-08-30,120418917.92456618
2023-08-31,120600624.66790913
2023-09-01,119881038.57684155
2023-09-05,120793594.10623875
2023-09-06,119742955.3275412
2023-09-07,119673098.87739915
2023-09-08,119626090.24366151
2023-09-11,121537756.65124817
2023-09-12,120923228.13176279
2023-09-13,121834880.76531062
2023-09-14,121873925.76016095
2023-09-15,120930570.22198205
2023-09-18,121051898.79195371
2023-09-19,121049230.82372496
2023-09-20,119901178.13496669
2023-09-21,119060586.95806874
2023-09-22,118729734.37592667
2023-09-25,119070955.0303675
2023-09-26,118390051.08195263
2023-09-27,118368294.24193454
2023-09-28,119051592.46150146
2023-09-29,119143276.91508639
2023-10-02,120641247.81310916
2023-10-03,119769296.70204279
2023-10-04,121091934.27678593
2023-10-05,121586341.8211672
2023-10-06,122532785.57206117
2023-10-09,122282218.11330757
2023-10-10,122475398.84634814
2023-10-11,123104764.08723354
2023-10-12,123318005.24397941
2023-10-13,122294822.54689638
2023-10-16,122770868.51639803
2023-10-17,122093045.09355235
2023-10-18,120687466.06671874
2023-10-19,119897932.70484778
2023-10-20,119158365.1416366
2023-10-23,119859546.18520626
2023-10-24,120292324.13344416
2023-10-25,118744747.52700892
2023-10-26,116952978.06499459
2023-10-27,117898593.5143266
2023-10-30,118350501.15566623
2023-10-31,118294123.73132628
2023-11-01,119789710.6177665
2023-11-02,120375677.29855892
2023-11-03,120774173.30330689
2023-11-06,121437549.20410977
2023-11-07,122163625.49753645
2023-11-08,122478084.4093799
2023-11-09,121862963.32868928
2023-11-10,122908672.39214045
2023-11-13,123223100.29272532
2023-11-14,123958872.04055732
2023-11-15,123943691.90262657
2023-11-16,124386849.84660487
2023-11-17,124316381.05565013
2023-11-20,124918062.27837607
2023-11-21,125056954.85493478
2023-11-22,124926796.510091
2023-11-24,124535055.12033819
2023-11-27,124642926.70295195
2023-11-28,125409598.91084474
2023-11-29,124886810.84051034
2023-11-30,124075059.82215759
2023-12-01,123786283.95824735
2023-12-04,122842492.71777312
2023-12-05,123950865.8405349
2023-12-06,123227695.42212711
2023-12-07,124508589.38799621
2023-12-08,124853835.15085752
2023-12-11,123406266.94528332
2023-12-12,124102466.62205361
2023-12-13,123875690.59404822
2023-12-14,123973775.51340573
2023-12-15,124745865.21213855
2023-12-18,125676219.0315083
2023-12-19,126068339.95805506
2023-12-20,125525256.66455486
2023-12-21,126297800.77155825
2023-12-22,126004708.03664896
2023-12-26,126197142.74233207
2023-12-27,126407208.93270278
2023-12-28,126285338.9492562
2023-12-29,125865068.05474348
2024-01-02,125155505.2093733
2024-01-03,124904858.710421
2024-01-04,124687926.35024339
2024-01-05,125093839.27794802
2024-01-08,126554057.71416543
2024-01-09,126923185.0435948
2024-01-10,127935957.17868319
2024-01-11,127708157.89342459
2024-01-12,127525494.26189643
2024-01-16,127619770.55058874
2024-01-17,127444415.35221563
2024-01-18,128157673.24036297
2024-01-19,129216149.55225775
2024-01-22,128860455.85535029
2024-01-23,128888483.90393254
2024-01-24,129650023.95436946
2024-01-25,128445091.07202548
2024-01-26,128218543.77494714
2024-01-29,129444463.35526636
2024-01-30,129314990.12972197
2024-01-31,127441980.8834088
2024-02-01,127994723.99849954
2024-02-02,131737762.28695296
2024-02-05,131528891.10834166
2024-02-06,131630979.85183749
2024-02-07,132679780.07915062
2024-02-08,132261477.40551202
2024-02-09,133596688.90837786
2024-02-12,132766427.74232116
2024-02-13,132133754.65853007
2024-02-14,132951223.60402651
2024-02-15,133586744.57367289
2024-02-16,133015375.03377895
2024-02-20,132147350.09646645
2024-02-21,132198053.88559327
2024-02-22,135332862.1291094
2024-02-23,134883026.71494967
2024-02-26,134793970.46293414
2024-02-27,134870235.02248222
2024-02-28,134778274.40141687
2024-02-29,135474435.82958516
2024-03-01,135757273.84581152
2024-03-04,134176479.38822137
2024-03-05,133283909.57574573
2024-03-06,132867656.41113357
2024-03-07,133745770.76186675
2024-03-08,133315616.71997783
2024-03-11,132977950.46268332
2024-03-12,134635061.0469383
2024-03-13,133938681.23555693
2024-03-14,133705324.49175346
2024-03-15,133255715.44826373
2024-03-18,134966815.81290728
2024-03-19,134938158.09429175
2024-03-20,135850793.58248538
2024-03-21,135247868.079667
2024-03-22,135603768.0984382
2024-03-25,135393456.27773923
2024-03-26,135370316.95371366
2024-03-27,135181667.80090183
2024-03-28,134570973.14678034
2024-04-01,135263183.05422166
2024-04-02,134895763.0118724
2024-04-03,134902732.9726029
2024-04-04,134839944.1808319
2024-04-05,135314652.8177753
2024-04-08,135792826.29340735
2024-04-09,135910704.2814543
2024-04-10,136097256.7021266
2024-04-11,137638098.05682895
2024-04-12,136488743.866092
2024-04-15,134861536.06619608
2024-04-16,134139821.74250372
