Date,port_pnl
2023-02-07,1974894.7789523304
2023-02-08,-1353119.1140613407
2023-02-09,-957501.7651197761
2023-02-10,-1171004.5103631169
2023-02-13,1202708.487630844
2023-02-14,1196571.075967744
2023-02-15,291293.55019812286
2023-02-16,-2127768.3020996153
2023-02-17,-227441.5371967703
2023-02-21,-2130719.369640082
2023-02-22,127646.8602039218
2023-02-23,1500968.3597183526
2023-02-24,-1272985.6494325548
2023-02-27,803022.0030911565
2023-02-28,21998.312587946653
2023-03-01,-950564.6855748743
2023-03-02,74004.98138193786
2023-03-03,2371043.726605609
2023-03-06,87719.53803300858
2023-03-07,-1253468.3566247523
2023-03-08,66257.98790112138
2023-03-09,-2052885.8158977628
2023-03-10,-710721.0402105451
2023-03-13,483047.0213997513
2023-03-14,2760456.3087843806
2023-03-15,115557.17982918024
2023-03-16,2458337.309985295
2023-03-17,-919213.529840529
2023-03-20,295176.1108857691
2023-03-21,2178343.089715913
2023-03-22,-1256677.7530095428
2023-03-23,1037824.3829434365
2023-03-24,-155903.13500268757
2023-03-27,-345560.5608064532
2023-03-28,-668237.6751158386
2023-03-29,1544878.1540203393
2023-03-30,584205.1301364601
2023-03-31,1914556.064831838
2023-04-03,-200914.1885073036
2023-04-04,-147982.38881081343
2023-04-05,-713980.7036452293
2023-04-06,852441.0178178996
2023-04-10,-283525.0709016323
2023-04-11,-530149.6020291746
2023-04-12,-873613.151261121
2023-04-13,2124957.339597717
2023-04-14,869818.9531033188
2023-04-17,-20321.799813866615
2023-04-18,-221557.85152475536
2023-04-19,65639.44504386187
2023-04-20,-1304022.1738200337
2023-04-21,222026.19611282647
2023-04-24,-291312.3293162137
2023-04-25,-1697789.124679193
2023-04-26,449846.29217381775
2023-04-27,3333221.740999192
2023-04-28,534211.0692888796
2023-05-01,184918.38769252598
2023-05-02,-879287.2563513964
2023-05-03,-672250.6514671743
2023-05-04,-479474.7723246217
2023-05-05,2218428.792422414
2023-05-08,455707.1658858806
2023-05-09,-539716.4676361531
2023-05-10,1020538.9164543152
2023-05-11,701976.908653155
2023-05-12,-725918.6441468894
2023-05-15,388571.32945907116
2023-05-16,443832.0407282114
2023-05-17,1731268.1004101783
2023-05-18,1637193.0709549338
2023-05-19,-175654.5462717712
2023-05-22,470366.5040920675
2023-05-23,-1366759.8773851693
2023-05-24,-326190.756905362
2023-05-25,3168940.432248071
2023-05-26,2258532.498014152
2023-05-30,783694.6969843805
2023-05-31,-754811.1458275318
2023-06-01,2014529.8712316006
2023-06-02,1091800.536627248
2023-06-05,130378.96924446523
2023-06-06,244472.4782256335
2023-06-07,-1811542.3247316927
2023-06-08,1328277.2452823073
2023-06-09,579506.7509180307
2023-06-12,1582314.483999744
2023-06-13,931864.8127015829
2023-06-14,671777.4719608873
2023-06-15,1329820.7258498073
