Date,EqualWeight,^GSPC
2022-09-19,0.00811,0.00686
2022-09-20,-0.0094,-0.01127
2022-09-21,-0.01947,-0.01712
2022-09-22,-0.00882,-0.00843
2022-09-23,-0.01635,-0.01723
2022-09-26,-0.00887,-0.01034
2022-09-27,-0.00137,-0.00212
2022-09-28,0.01977,0.01967
2022-09-29,-0.02858,-0.02113
2022-09-30,-0.01424,-0.01507
2022-10-03,0.01398,0.02588
2022-10-04,0.03119,0.03058
2022-10-05,-0.00451,-0.00202
2022-10-06,-0.00891,-0.01025
2022-10-07,-0.03862,-0.028
2022-10-10,-0.00836,-0.00749
2022-10-11,-0.01533,-0.00652
2022-10-12,0.00058,-0.00329
2022-10-13,0.02726,0.02597
2022-10-14,-0.02942,-0.02366
2022-10-17,0.04238,0.02648
2022-10-18,0.00779,0.01143
2022-10-19,-0.00431,-0.00667
2022-10-20,-0.00634,-0.00795
2022-10-21,0.02357,0.02372
2022-10-24,0.0064,0.01188
2022-10-25,0.02445,0.01627
2022-10-26,-0.02363,-0.00739
2022-10-27,-0.0332,-0.00608
2022-10-28,0.02214,0.02463
2022-10-31,-0.01658,-0.00745
2022-11-01,-0.00941,-0.0041
2022-11-02,-0.03423,-0.025
2022-11-03,-0.01688,-0.01059
2022-11-04,0.01707,0.01362
2022-11-07,0.01056,0.00961
2022-11-08,0.00102,0.0056
2022-11-09,-0.02469,-0.02078
2022-11-10,0.08014,0.05543
2022-11-11,0.0149,0.00924
2022-11-14,-0.00646,-0.00894
2022-11-15,0.01235,0.00871
2022-11-16,-0.01293,-0.00825
2022-11-17,-0.00582,-0.00309
2022-11-18,-0.00265,0.00476
2022-11-21,-0.01708,-0.00388
2022-11-22,0.0163,0.01358
2022-11-23,0.01746,0.00591
2022-11-25,-0.00492,-0.00028
2022-11-28,-0.01374,-0.01544
2022-11-29,-0.00703,-0.00159
2022-11-30,0.05144,0.03095
2022-12-01,0.00118,-0.00087
2022-12-02,-0.00149,-0.00119
2022-12-05,-0.02045,-0.01789
2022-12-06,-0.02558,-0.0144
2022-12-07,-0.00617,-0.00186
2022-12-08,0.01237,0.00752
2022-12-09,-0.00228,-0.00735
2022-12-12,0.00809,0.01428
2022-12-13,0.01072,0.00729
2022-12-14,-0.00665,-0.00605
2022-12-15,-0.03001,-0.02492
2022-12-16,-0.0108,-0.01114
2022-12-19,-0.0155,-0.00901
2022-12-20,-0.00447,0.00104
2022-12-21,0.01363,0.01487
2022-12-22,-0.03087,-0.01445
2022-12-23,0.00263,0.00587
2022-12-27,-0.02576,-0.00405
2022-12-28,-0.00602,-0.01202
2022-12-29,0.03002,0.01746
2022-12-30,0.00055,-0.00254
2023-01-03,-0.00984,-0.004
2023-01-04,0.0095,0.00754
2023-01-05,-0.01652,-0.01165
2023-01-06,0.02467,0.02284
2023-01-09,0.01172,-0.00077
2023-01-10,0.01008,0.00698
2023-01-11,0.01967,0.01285
2023-01-12,0.00728,0.00342
2023-01-13,0.00895,0.004
2023-01-17,0.00714,-0.00203
2023-01-18,-0.01495,-0.01556
2023-01-19,-0.0048,-0.00764
2023-01-20,0.02988,0.01892
2023-01-23,0.02486,0.01188
2023-01-24,-0.00143,-0.00071
2023-01-25,-0.00153,-0.00018
2023-01-26,0.02678,0.01101
2023-01-27,0.02608,0.00249
2023-01-30,-0.02917,-0.01297
2023-01-31,0.01668,0.01464
2023-02-01,0.02201,0.01045
2023-02-02,0.0531,0.0147
2023-02-03,-0.01295,-0.01035
2023-02-06,-0.00363,-0.00614
2023-02-07,0.02191,0.01287
2023-02-08,-0.01469,-0.01108
2023-02-09,-0.01055,-0.00883
2023-02-10,-0.01304,0.0022
2023-02-13,0.01357,0.01145
2023-02-14,0.01332,-0.00028
2023-02-15,0.0032,0.00277
2023-02-16,-0.0233,-0.01379
2023-02-17,-0.00255,-0.00277
2023-02-21,-0.02395,-0.02004
2023-02-22,0.00147,-0.00157
2023-02-23,0.01726,0.00533
2023-02-24,-0.01439,-0.01054
2023-02-27,0.00921,0.00307
2023-02-28,0.00025,-0.00304
2023-03-01,-0.0108,-0.00473
2023-03-02,0.00085,0.00758
2023-03-03,0.02721,0.01615
2023-03-06,0.00098,0.00069
2023-03-07,-0.01399,-0.01533
2023-03-08,0.00075,0.00141
2023-03-09,-0.02322,-0.01846
2023-03-10,-0.00823,-0.01448
2023-03-13,0.00564,-0.00151
2023-03-14,0.03205,0.01648
2023-03-15,0.0013,-0.00698
2023-03-16,0.02762,0.01756
2023-03-17,-0.01005,-0.01102
2023-03-20,0.00326,0.00892
2023-03-21,0.02398,0.01298
2023-03-22,-0.01351,-0.01646
2023-03-23,0.01131,0.00298
2023-03-24,-0.00168,0.00564
2023-03-27,-0.00373,0.00165
2023-03-28,-0.00724,-0.00157
2023-03-29,0.01686,0.01424
2023-03-30,0.00627,0.00572
2023-03-31,0.02042,0.01444
2023-04-03,-0.0021,0.0037
2023-04-04,-0.00155,-0.0058
2023-04-05,-0.00749,-0.00249
2023-04-06,0.00901,0.00358
2023-04-10,-0.00297,0.001
2023-04-11,-0.00557,-4e-05
2023-04-12,-0.00923,-0.00413
2023-04-13,0.02266,0.01326
2023-04-14,0.00907,-0.00207
2023-04-17,-0.00021,0.00331
2023-04-18,-0.00229,0.00086
2023-04-19,0.00068,-8e-05
2023-04-20,-0.0135,-0.00595
2023-04-21,0.00233,0.0009
2023-04-24,-0.00305,0.00085
2023-04-25,-0.01783,-0.01581
2023-04-26,0.00481,-0.00384
2023-04-27,0.03547,0.01957
2023-04-28,0.00549,0.00825
2023-05-01,0.00189,-0.00039
2023-05-02,-0.00897,-0.01159
2023-05-03,-0.00692,-0.007
